key	reg	target	all.pearson	all.pearson.pvalue	nonresp.pearson	nonresp.pearson.pvalue	respond.pearson	respond.pearson.pvalue	all.spearman	all.spearman.pvalue	nonresp.spearman	nonresp.spearman.pvalue	respond.spearman	respond.spearman.pvalue	support	chip.evidence	num.chip.peaks	all.weights	nonresp.weights	respond.weights
OAF||ARID4B	ARID4B	OAF	-0.430211931246419	8.43817163057596e-07	-0.430211931246419	8.43817163057596e-07	-0.430211931246419	8.43817163057596e-07	-0.342545721824047	0.00012010377869761	-0.342545721824047	0.00012010377869761	-0.342545721824047	0.00012010377869761	0	0	0	-0.621084501798965	0	0
LINGO1||ARID4B	ARID4B	LINGO1	-0.382679899108439	1.47857571876927e-05	-0.382679899108439	1.47857571876927e-05	-0.382679899108439	1.47857571876927e-05	-0.381185285044373	1.60666463005379e-05	-0.381185285044373	1.60666463005379e-05	-0.381185285044373	1.60666463005379e-05	0	0	0	-0.601103634713292	0	0
APLNR||ARID4B	ARID4B	APLNR	-0.308121728327944	0.000585587726930987	-0.308121728327944	0.000585587726930987	-0.308121728327944	0.000585587726930987	-0.187848129563318	0.039085429112012	-0.187848129563318	0.039085429112012	-0.187848129563318	0.039085429112012	0	0	0	-0.529715152102898	0	0
PLA2G15||ARID4B	ARID4B	PLA2G15	-0.469617592985639	5.5123531627263e-08	-0.469617592985639	5.5123531627263e-08	-0.469617592985639	5.5123531627263e-08	-0.317709779906381	0.00038377657386788	-0.317709779906381	0.00038377657386788	-0.317709779906381	0.00038377657386788	0	0	0	-0.397208780089567	0	0
CLEC14A||ARID4B	ARID4B	CLEC14A	-0.345087229862939	0.000106043780462732	-0.345087229862939	0.000106043780462732	-0.345087229862939	0.000106043780462732	-0.18533829429454	0.0418279789410386	-0.18533829429454	0.0418279789410386	-0.18533829429454	0.0418279789410386	0	0	0	-0.375406137190336	0	0
EHD4||ARID4B	ARID4B	EHD4	-0.318725343552066	0.000366673970841004	-0.318725343552066	0.000366673970841004	-0.318725343552066	0.000366673970841004	-0.179001651213263	0.0494748464479652	-0.179001651213263	0.0494748464479652	-0.179001651213263	0.0494748464479652	0	0	0	-0.356215407094991	0	0
ESAM||ARID4B	ARID4B	ESAM	-0.344459086958406	0.000109368500260517	-0.344459086958406	0.000109368500260517	-0.344459086958406	0.000109368500260517	-0.246523561539792	0.00641431318014593	-0.246523561539792	0.00641431318014593	-0.246523561539792	0.00641431318014593	0	0	0	-0.340076311013775	0	0
GJA4||ARID4B	ARID4B	GJA4	-0.370920804754649	2.81192690230443e-05	-0.370920804754649	2.81192690230443e-05	-0.370920804754649	2.81192690230443e-05	-0.235080731205559	0.00944460583864897	-0.235080731205559	0.00944460583864897	-0.235080731205559	0.00944460583864897	0	0	0	-0.339407546301114	0	0
DLL4||ELK3	ELK3	DLL4	0.270318583049766	0.00271157441039957	0.270318583049766	0.00271157441039957	0.270318583049766	0.00271157441039957	0.275244506541739	0.00224679828679463	0.275244506541739	0.00224679828679463	0.275244506541739	0.00224679828679463	0	0	0	-0.330780345168517	0	0
RASIP1||ARID4B	ARID4B	RASIP1	-0.408990717264706	3.19956188368398e-06	-0.408990717264706	3.19956188368398e-06	-0.408990717264706	3.19956188368398e-06	-0.314695262804923	0.000438972635135539	-0.314695262804923	0.000438972635135539	-0.314695262804923	0.000438972635135539	0	0	0	-0.322475742858719	0	0
GABRD||ELK3	ELK3	GABRD	0.184937658826609	0.0422803051298147	0.184937658826609	0.0422803051298147	0.184937658826609	0.0422803051298147	0.154322953008289	0.0910141501301234	0.154322953008289	0.0910141501301234	0.154322953008289	0.0910141501301234	0	0	0	-0.317488068731624	-0.499615605813797	0
EXOC3L1||ELK3	ELK3	EXOC3L1	0.149757360104912	0.101111001305603	0.149757360104912	0.101111001305603	0.149757360104912	0.101111001305603	0.154190856191483	0.091294589317056	0.154190856191483	0.091294589317056	0.154190856191483	0.091294589317056	0	0	0	-0.215870797130459	-0.443559928595048	0
BDKRB2||FOXS1	FOXS1	BDKRB2	0.100348161673789	0.273455765860201	0.100348161673789	0.273455765860201	0.100348161673789	0.273455765860201	0.119584472241133	0.191393244670159	0.119584472241133	0.191393244670159	0.119584472241133	0.191393244670159	0	0	0	-0.167943831633333	0	0
ACVRL1||ARID4B	ARID4B	ACVRL1	-0.234474285657653	0.00963564360262026	-0.234474285657653	0.00963564360262026	-0.234474285657653	0.00963564360262026	-0.175628096024639	0.0539969878443718	-0.175628096024639	0.0539969878443718	-0.175628096024639	0.0539969878443718	0	0	0	0	0	0
ADAMTS7||ARID4B	ARID4B	ADAMTS7	-0.305573661566888	0.000653635916443957	-0.305573661566888	0.000653635916443957	-0.305573661566888	0.000653635916443957	-0.267675116897401	0.00299524864176154	-0.267675116897401	0.00299524864176154	-0.267675116897401	0.00299524864176154	0	0	0	0	0	0
ALPK3||ARID4B	ARID4B	ALPK3	-0.0404108681360351	0.65987534541788	-0.0404108681360351	0.65987534541788	-0.0404108681360351	0.65987534541788	-0.0128473057239498	0.888771222370247	-0.0128473057239498	0.888771222370247	-0.0128473057239498	0.888771222370247	0	0	0	0	0	0
ANGPTL2||ARID4B	ARID4B	ANGPTL2	-0.187719123387026	0.0392226254900761	-0.187719123387026	0.0392226254900761	-0.187719123387026	0.0392226254900761	-0.13254752529762	0.147256225565434	-0.13254752529762	0.147256225565434	-0.13254752529762	0.147256225565434	0	0	0	0	0	0
APLN||ARID4B	ARID4B	APLN	-0.108168387444282	0.237614545726315	-0.108168387444282	0.237614545726315	-0.108168387444282	0.237614545726315	-0.0515650032688342	0.574319597751061	-0.0515650032688342	0.574319597751061	-0.0515650032688342	0.574319597751061	0	0	0	0	0	0
APOE||ARID4B	ARID4B	APOE	-0.171445349266001	0.0600712741174155	-0.171445349266001	0.0600712741174155	-0.171445349266001	0.0600712741174155	-0.153871166614175	0.0919761232901707	-0.153871166614175	0.0919761232901707	-0.153871166614175	0.0919761232901707	0	0	0	0	0	0
APOLD1||ARID4B	ARID4B	APOLD1	-0.151758446778554	0.0965821591608091	-0.151758446778554	0.0965821591608091	-0.151758446778554	0.0965821591608091	-0.050430500138871	0.582781014992977	-0.050430500138871	0.582781014992977	-0.050430500138871	0.582781014992977	0	0	0	0	0	0
ARHGEF15||ARID4B	ARID4B	ARHGEF15	-0.295850129031739	0.00098545126465513	-0.295850129031739	0.00098545126465513	-0.295850129031739	0.00098545126465513	-0.217651153220505	0.0164787866076945	-0.217651153220505	0.0164787866076945	-0.217651153220505	0.0164787866076945	0	0	0	0	0	0
ATP10A||ARID4B	ARID4B	ATP10A	-0.0906277524225111	0.322862044251323	-0.0906277524225111	0.322862044251323	-0.0906277524225111	0.322862044251323	-0.0573605023743556	0.53201638306059	-0.0573605023743556	0.53201638306059	-0.0573605023743556	0.53201638306059	0	0	0	0	0	0
BDKRB2||ARID4B	ARID4B	BDKRB2	-0.21366655451501	0.0186136796026174	-0.21366655451501	0.0186136796026174	-0.21366655451501	0.0186136796026174	-0.144699962911549	0.113302161985949	-0.144699962911549	0.113302161985949	-0.144699962911549	0.113302161985949	0	0	0	0	0	0
BGN||ARID4B	ARID4B	BGN	-0.248417060642193	0.00600644532375198	-0.248417060642193	0.00600644532375198	-0.248417060642193	0.00600644532375198	-0.195614657573441	0.0315358731431044	-0.195614657573441	0.0315358731431044	-0.195614657573441	0.0315358731431044	0	0	0	0	0	0
BTNL9||ARID4B	ARID4B	BTNL9	-0.228322858389212	0.0117740149063982	-0.228322858389212	0.0117740149063982	-0.228322858389212	0.0117740149063982	-0.158507443981957	0.082479144006169	-0.158507443981957	0.082479144006169	-0.158507443981957	0.082479144006169	0	0	0	0	0	0
C11orf24||ARID4B	ARID4B	C11orf24	-0.379822027543272	1.7325363285643e-05	-0.379822027543272	1.7325363285643e-05	-0.379822027543272	1.7325363285643e-05	-0.249566448541813	0.00577026829782059	-0.249566448541813	0.00577026829782059	-0.249566448541813	0.00577026829782059	0	0	0	0	0	-1.22044238336931
C3orf36||ARID4B	ARID4B	C3orf36	-0.093079474153995	0.309890007899384	-0.093079474153995	0.309890007899384	-0.093079474153995	0.309890007899384	0.0107811507684646	0.906570763960925	0.0107811507684646	0.906570763960925	0.0107811507684646	0.906570763960925	0	0	0	0	0	0
