gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
RASL12	0	1.94	1.82	2.51	-0.686	0.0265	-2.33	0.0173	79	1	1	1
ARID4B	1	3.28	3.23	3.54	-0.316	0.0411	-2.14	0.0157	78	2	1	1
TMEM133	0	1.28	1.22	1.58	-0.36	0.0419	-2.12	0.0503	91	2	1	1
SLIT3	0	2.12	1.96	2.62	-0.664	0.0476	-2.06	0.0392	88	1	1	1
LHFP	0	4.1	3.92	4.76	-0.844	0.0482	-2.05	0.107	101	2	1	1
TMEM204	0	3.4	3.32	4.09	-0.771	0.0589	-1.97	0.0861	98	1	1	1
BGN	0	7.38	6.96	7.94	-0.987	0.0762	-1.84	0.0926	99	2	1	1
EDNRB	0	1.9	1.9	2.43	-0.52	0.0774	-1.84	0.036	87	2	1	1
ELK3	1	3.25	3.22	3.69	-0.461	0.0814	-1.8	0.0463	90	2	1	1
PECAM1	0	3.82	3.82	4.41	-0.591	0.0922	-1.74	0.0638	94	2	1	1
ATP10A	0	1.4	1.34	1.78	-0.439	0.0948	-1.74	0.142	106	2	1	1
LATS2	0	2.26	2.19	2.45	-0.261	0.116	-1.61	0.158	107	2	1	1
EXOC3L1	0	1.86	2.05	1.72	0.321	0.122	1.59	0.139	195	2	1	1
WISP2	0	0.964	0.856	1.29	-0.429	0.148	-1.49	0.0861	98	2	1	1
IGFBP7	0	7.56	7.41	8.2	-0.796	0.154	-1.46	0.0745	96	3	2	1
RGS5	0	4.35	4.38	5.09	-0.709	0.164	-1.43	0.114	102	1	1	1
CD99	0	7.06	7.04	7.39	-0.349	0.177	-1.38	0.217	112	2	1	1
GGT5	0	3.84	3.7	4.35	-0.648	0.178	-1.38	0.214	112	2	1	1
KCNJ8	0	2.33	2.07	2.5	-0.425	0.191	-1.34	0.131	104	2	1	1
CXorf36	0	1.54	1.58	1.9	-0.328	0.209	-1.29	0.169	108	2	1	1
MYCT1	0	1.86	1.86	2.25	-0.383	0.215	-1.27	0.182	110	2	1	1
CLEC1A	0	0.738	0.747	0.946	-0.2	0.217	-1.27	0.347	121	2	1	1
GRAP	0	0.494	0.483	0.62	-0.138	0.218	-1.26	0.158	107	2	1	1
CLDN5	0	2.21	2.14	2.6	-0.457	0.223	-1.24	0.202	111	1	1	1
ACVRL1	0	2.37	2.33	2.67	-0.342	0.233	-1.22	0.08	97	2	1	1
LRRC32	0	3.19	3.11	3.63	-0.52	0.238	-1.21	0.158	107	2	1	1
NES	0	3.04	2.84	3.32	-0.478	0.239	-1.2	0.107	101	2	1	1
THBD	0	2.28	2.28	2.64	-0.352	0.239	-1.2	0.33	120	2	1	1
TIE1	0	2.58	2.51	2.93	-0.413	0.24	-1.2	0.0638	94	2	1	1
HTRA3	0	2.73	2.5	3.02	-0.523	0.253	-1.17	0.347	121	1	1	1
FOXS1	1	2.72	2.69	3.21	-0.519	0.256	-1.16	0.139	105	2	1	1
GIPC3	0	1.24	1.13	1.36	-0.23	0.261	-1.15	0.202	111	2	1	1
GPRC5B	0	1.93	1.86	2.17	-0.308	0.269	-1.13	0.188	110	2	2	1
TPPP3	0	2.53	2.26	2.64	-0.381	0.282	-1.09	0.24	114	2	1	1
CRTAP	0	4.46	4.41	4.67	-0.26	0.286	-1.08	0.499	129	2	1	1
RHOJ	0	2.05	2.03	2.33	-0.305	0.286	-1.09	0.188	110	2	1	2
HIGD1B	0	1.79	1.84	2.25	-0.418	0.289	-1.09	0.364	122	2	1	1
C11orf24	0	4.25	4.21	4.45	-0.24	0.304	-1.05	0.364	122	2	1	1
FGD5	0	1.8	1.73	1.98	-0.259	0.312	-1.03	0.179	109	2	1	1
SPRY4	0	2.89	2.79	3.15	-0.357	0.319	-1.02	0.283	117	2	1	1
RAMP2	0	4.04	4.06	4.45	-0.389	0.337	-0.975	0.33	120	2	1	1
LGMN	0	5.96	6.04	5.75	0.291	0.344	0.961	0.24	186	2	1	1
LAMP5	0	1.95	1.8	2.17	-0.375	0.36	-0.928	0.214	112	2	1	1
ESAM	0	4.12	4.03	4.4	-0.373	0.362	-0.926	0.202	111	2	1	1
LINGO1	0	2.17	1.88	2.2	-0.326	0.364	-0.924	0.347	121	2	1	1
PLVAP	0	5.23	5.21	5.63	-0.423	0.384	-0.884	0.347	121	2	1	1
CLEC14A	0	3.11	3.2	3.55	-0.343	0.386	-0.881	0.122	103	2	1	1
COX4I2	0	1.92	1.89	2.21	-0.32	0.388	-0.876	0.298	118	2	1	1
TBXA2R	0	1.19	1.11	1.28	-0.165	0.389	-0.874	0.227	113	2	1	1
ECSCR	0	3.23	3.31	3.65	-0.347	0.397	-0.86	0.254	115	2	1	1
RASIP1	0	2.11	2.04	2.26	-0.219	0.407	-0.84	0.419	125	2	1	1
MMRN2	0	2.84	2.83	3.12	-0.292	0.412	-0.833	0.298	118	2	1	1
OLFML2A	0	2.48	2.43	2.77	-0.337	0.416	-0.824	0.24	114	2	1	1
BCL6B	1	2.28	2.22	2.53	-0.302	0.426	-0.807	0.191	110	2	1	1
CDH5	0	3.13	3.07	3.37	-0.301	0.426	-0.806	0.131	104	2	1	1
KDELC1	0	2.12	1.97	2.16	-0.191	0.434	-0.798	0.382	123	2	1	1
PCDH12	0	1.94	1.88	2.11	-0.225	0.437	-0.787	0.268	116	2	1	1
ROBO4	0	2.36	2.34	2.6	-0.256	0.442	-0.779	0.254	115	2	1	1
MCAM	0	4.68	4.5	4.84	-0.349	0.448	-0.768	0.382	123	1	1	1
EHD4	0	3.04	3.03	3.16	-0.134	0.452	-0.761	0.382	123	2	1	1
PDGFB	0	2.78	2.79	2.97	-0.184	0.466	-0.739	0.499	129	1	1	1
FJX1	0	1.98	1.92	2.14	-0.218	0.471	-0.732	0.61	134	2	1	1
OAF	0	3.47	3.43	3.63	-0.197	0.481	-0.713	0.526	130	2	1	1
THY1	0	4.27	4.17	4.52	-0.35	0.482	-0.711	0.298	118	2	1	1
KANK3	0	1.28	1.29	1.45	-0.156	0.486	-0.705	0.499	129	2	1	1
FAM110D	0	0.694	0.72	0.828	-0.108	0.492	-0.697	0.479	128	1	1	1
CHST1	0	1.66	1.42	1.64	-0.217	0.494	-0.694	0.73	139	2	1	1
HSPA12B	0	1.65	1.61	1.77	-0.16	0.496	-0.689	0.61	134	2	1	1
EGFL7	0	3.86	3.95	4.23	-0.276	0.498	-0.686	0.831	143	1	1	1
LZTS1	0	1.54	1.34	1.51	-0.174	0.498	-0.687	0.564	132	2	1	1
PTPRB	0	1.84	1.92	2.08	-0.155	0.501	-0.683	0.301	118	2	1	1
RGS3	0	2.84	2.92	2.8	0.125	0.505	0.675	0.542	169	2	1	1
CYYR1	0	2.3	2.4	2.63	-0.229	0.511	-0.665	0.564	132	2	1	1
FLT4	0	2.1	2.03	2.22	-0.187	0.517	-0.656	0.499	129	2	1	1
GJC1	0	1.36	1.3	1.45	-0.15	0.521	-0.65	0.314	119	1	1	1
ESM1	0	2.86	2.97	3.34	-0.374	0.527	-0.642	0.542	131	2	1	1
OLFML2B	0	3.71	3.58	3.89	-0.31	0.539	-0.621	0.314	119	2	1	1
PLXDC1	0	2.1	2.12	2.28	-0.156	0.561	-0.588	0.382	123	2	1	1
TNFAIP8L1	0	2.3	2.21	2.33	-0.118	0.575	-0.566	0.254	115	1	1	1
PLA2G15	0	3.1	3.19	3.07	0.117	0.586	0.552	0.961	148	2	1	1
RAMP3	0	2.96	3.13	3.39	-0.255	0.596	-0.536	0.755	140	1	1	1
GJA4	0	3.1	3.19	3.39	-0.196	0.634	-0.48	0.542	131	1	1	1
PRND	0	0.651	0.541	0.678	-0.137	0.644	-0.466	0.0861	98	2	1	1
DLL4	0	2.47	2.51	2.68	-0.169	0.653	-0.455	0.61	134	2	1	1
CDK2AP1	0	5.31	5.61	5.49	0.122	0.66	0.444	0.73	161	2	1	1
DPEP1	0	1.09	0.998	1.15	-0.15	0.665	-0.438	0.78	159	2	1	1
ADAMTS7	0	1.4	1.34	1.24	0.0999	0.679	0.418	0.499	171	2	1	1
LOX	0	2.65	2.42	2.57	-0.151	0.685	-0.41	0.542	131	2	1	1
NOVA2	0	0.79	0.731	0.788	-0.0569	0.71	-0.375	0.657	136	1	1	1
APLNR	0	3.02	3.07	3.25	-0.18	0.715	-0.369	0.4	124	2	1	1
ALPK3	0	0.99	1.03	1.09	-0.0579	0.716	-0.368	0.714	138	2	1	1
PDGFD	0	2.07	2.26	2.39	-0.128	0.716	-0.367	0.521	130	2	1	1
THSD1	0	1.24	1.27	1.34	-0.0718	0.743	-0.33	0.458	127	2	1	1
BDKRB2	0	0.879	0.849	0.782	0.0677	0.745	0.329	0.499	171	2	1	1
FLT1	0	2.23	2.35	2.47	-0.125	0.745	-0.329	0.705	138	2	1	1
F2RL3	0	1.29	1.41	1.34	0.0729	0.778	0.285	0.805	158	2	1	1
PLOD1	0	5.56	5.52	5.46	0.0536	0.781	0.281	0.934	153	2	1	1
SEMA6B	0	1.97	2	2.07	-0.0708	0.793	-0.265	0.882	145	2	1	1
ARHGEF15	0	1.96	1.99	2.07	-0.0808	0.794	-0.263	0.633	135	2	1	1
FNDC1	0	2.14	2.02	2.14	-0.115	0.802	-0.253	0.633	135	1	1	1
VASH1	0	3.23	3.34	3.28	0.0632	0.806	0.247	0.705	162	2	1	1
PSMC5	0	5.7	5.84	5.81	0.0352	0.808	0.247	0.35	178	3	1	2
GABRD	0	1.49	1.54	1.46	0.0713	0.81	0.242	0.987	151	2	2	1
FKBP11	0	4.45	4.8	4.86	-0.066	0.83	-0.216	0.96	148	2	1	2
BTNL9	0	1.67	1.84	1.77	0.0694	0.847	0.195	0.882	155	2	1	1
STARD8	0	1.35	1.36	1.4	-0.0342	0.851	-0.189	0.521	130	2	1	1
APOLD1	0	2.03	2.07	2.11	-0.0443	0.869	-0.166	0.961	148	2	1	1
ITGB5	0	4.76	4.81	4.85	-0.033	0.902	-0.124	0.894	146	2	1	1
APOE	0	7.52	7.27	7.33	-0.0616	0.917	-0.105	0.805	142	2	1	1
KLHL4	0	0.194	0.218	0.225	-0.00716	0.92	-0.102	0.4	124	2	1	1
GPR4	0	1.93	1.97	1.94	0.0362	0.924	0.0967	0.831	157	1	1	1
TMEM233	0	0.587	0.673	0.686	-0.0134	0.927	-0.0917	0.73	139	1	1	1
EXOC3L2	0	2.11	2.17	2.15	0.021	0.949	0.0646	0.894	154	2	2	1
PCDH17	0	1.28	1.37	1.39	-0.0151	0.964	-0.0453	0.4	124	2	1	1
HYAL2	0	3.75	3.85	3.84	0.0119	0.965	0.0446	0.641	136	2	1	1
APLN	0	2.85	2.83	2.82	0.00631	0.989	0.0144	1	150	1	1	1
MMP11	0	3.79	3.7	3.69	0.00114	0.998	0.00284	0.961	152	2	1	1
USHBP1	0	0.934	1.03	1.03	-0.000441	0.998	-0.00231	0.855	144	2	1	2
