user_gene_set	property_gene_set	universe_count	user_count	property_count	overlap_count	pval
VBSR.1.mod.111	VBSR.1.mod.13	12971	109	63	0	0
VBSR.1.mod.111	VBSR.1.mod.190	12971	109	141	0	0
VBSR.1.mod.111	VBSR.1.mod.222	12971	109	140	0	0
VBSR.1.mod.111	VBSR.1.mod.228	12971	109	177	0	0
VBSR.1.mod.111	VBSR.1.mod.229	12971	109	68	0	0
VBSR.1.mod.111	VBSR.1.mod.231	12971	109	162	0	0
VBSR.1.mod.111	VBSR.1.mod.239	12971	109	151	0	0
VBSR.1.mod.111	VBSR.1.mod.263	12971	109	76	0	0
VBSR.1.mod.111	VBSR.1.mod.307	12971	109	119	0	0
VBSR.1.mod.111	VBSR.1.mod.317	12971	109	132	0	0
VBSR.1.mod.111	VBSR.1.mod.323	12971	109	142	0	0
VBSR.1.mod.111	VBSR.1.mod.351	12971	109	156	0	0
VBSR.1.mod.111	VBSR.1.mod.39	12971	109	173	0	0
VBSR.1.mod.111	VBSR.1.mod.40	12971	109	106	0	0
VBSR.1.mod.111	VBSR.1.mod.437	12971	109	139	0	0
VBSR.1.mod.111	VBSR.1.mod.445	12971	109	153	0	0
VBSR.1.mod.111	VBSR.1.mod.456	12971	109	107	0	0
VBSR.1.mod.111	VBSR.1.mod.471	12971	109	70	0	0
VBSR.1.mod.111	VBSR.1.mod.521	12971	109	143	0	0
VBSR.1.mod.111	VBSR.1.mod.528	12971	109	108	0	0
VBSR.1.mod.111	VBSR.1.mod.545	12971	109	146	0	0
VBSR.1.mod.111	VBSR.1.mod.550	12971	109	91	0	0
VBSR.1.mod.111	VBSR.1.mod.639	12971	109	97	0	0
VBSR.1.mod.111	VBSR.1.mod.64	12971	109	117	0	0
VBSR.1.mod.111	VBSR.1.mod.640	12971	109	128	0	0
VBSR.1.mod.111	VBSR.1.mod.683	12971	109	121	0	0
VBSR.1.mod.111	VBSR.1.mod.692	12971	109	106	0	0
VBSR.1.mod.111	VBSR.1.mod.719	12971	109	154	0	0
VBSR.1.mod.111	VBSR.1.mod.757	12971	109	147	0	0
VBSR.1.mod.111	VBSR.1.mod.780	12971	109	206	0	0
VBSR.1.mod.111	VBSR.1.mod.792	12971	109	99	0	0
VBSR.1.mod.111	VBSR.1.mod.81	12971	109	132	0	0
VBSR.1.mod.111	VBSR.1.mod.839	12971	109	110	0	0
VBSR.1.mod.111	VBSR.1.mod.842	12971	109	170	0	0
VBSR.1.mod.111	VBSR.1.mod.942	12971	109	152	0	0
VBSR.1.mod.111	VBSR.1.mod.943	12971	109	36	0	0
VBSR.1.mod.111	VBSR.1.mod.946	12971	109	19	0	0
VBSR.1.mod.111	VBSR.1.mod.95	12971	109	26	0	0
VBSR.1.mod.111	VBSR.1.mod.977	12971	109	147	0	0
VBSR.1.mod.111	VBSR.1.mod.990	12971	109	129	0	0
VBSR.1.mod.111	VBSR.1.mod.991	12971	109	111	0	0
VBSR.1.mod.13	VBSR.1.mod.190	12971	63	141	0	0
VBSR.1.mod.13	VBSR.1.mod.228	12971	63	177	0	0
VBSR.1.mod.13	VBSR.1.mod.231	12971	63	162	0	0
VBSR.1.mod.13	VBSR.1.mod.239	12971	63	151	0	0
VBSR.1.mod.13	VBSR.1.mod.248	12971	63	89	0	0
VBSR.1.mod.13	VBSR.1.mod.263	12971	63	76	0	0
VBSR.1.mod.13	VBSR.1.mod.307	12971	63	119	0	0
VBSR.1.mod.13	VBSR.1.mod.317	12971	63	132	0	0
VBSR.1.mod.13	VBSR.1.mod.323	12971	63	142	0	0
VBSR.1.mod.13	VBSR.1.mod.351	12971	63	156	0	0
VBSR.1.mod.13	VBSR.1.mod.39	12971	63	173	0	0
VBSR.1.mod.13	VBSR.1.mod.40	12971	63	106	0	0
VBSR.1.mod.13	VBSR.1.mod.437	12971	63	139	0	0
VBSR.1.mod.13	VBSR.1.mod.445	12971	63	153	0	0
VBSR.1.mod.13	VBSR.1.mod.456	12971	63	107	0	0
VBSR.1.mod.13	VBSR.1.mod.521	12971	63	143	0	0
VBSR.1.mod.13	VBSR.1.mod.528	12971	63	108	0	0
VBSR.1.mod.13	VBSR.1.mod.545	12971	63	146	0	0
VBSR.1.mod.13	VBSR.1.mod.550	12971	63	91	0	0
VBSR.1.mod.13	VBSR.1.mod.64	12971	63	117	0	0
VBSR.1.mod.13	VBSR.1.mod.640	12971	63	128	0	0
VBSR.1.mod.13	VBSR.1.mod.683	12971	63	121	0	0
VBSR.1.mod.13	VBSR.1.mod.692	12971	63	106	0	0
VBSR.1.mod.13	VBSR.1.mod.719	12971	63	154	0	0
VBSR.1.mod.13	VBSR.1.mod.757	12971	63	147	0	0
VBSR.1.mod.13	VBSR.1.mod.77	12971	63	110	0	0
VBSR.1.mod.13	VBSR.1.mod.780	12971	63	206	0	0
VBSR.1.mod.13	VBSR.1.mod.792	12971	63	99	0	0
VBSR.1.mod.13	VBSR.1.mod.81	12971	63	132	0	0
